"No.","Time","Source","Destination","Protocol","Length","Info"
"51","0.149659000","fe80::b5e6:ab10:6bd3:492","ff02::1:3","LLMNR","84","Standard query 0x0472  A wpad"
"52","0.149660000","140.138.149.76","224.0.0.252","LLMNR","64","Standard query 0x0472  A wpad"
"62","0.249950000","fe80::b5e6:ab10:6bd3:492","ff02::1:3","LLMNR","84","Standard query 0x0472  A wpad"
"63","0.249951000","140.138.149.76","224.0.0.252","LLMNR","64","Standard query 0x0472  A wpad"
"127","0.736938000","140.138.148.138","140.138.2.109","DNS","102","Standard query 0x9d85  A cqi25izlyk27jtpta47fzgqb38mumuh54ktaw.info"
"133","0.797621000","fe80::5c7:7e0d:4e9c:d1d0","ff02::1:3","LLMNR","84","Standard query 0x9ac0  A wpad"
"134","0.797624000","140.138.149.73","224.0.0.252","LLMNR","64","Standard query 0x9ac0  A wpad"
"176","0.897358000","fe80::5c7:7e0d:4e9c:d1d0","ff02::1:3","LLMNR","84","Standard query 0x9ac0  A wpad"
"177","0.897360000","140.138.149.73","224.0.0.252","LLMNR","64","Standard query 0x9ac0  A wpad"
"223","1.034825000","140.138.2.109","140.138.148.138","DNS","162","Standard query response 0x9d85 No such name"
"340","2.539119000","140.138.148.138","140.138.2.109","DNS","103","Standard query 0x3b08  A iqith14bvgwlwa47oze61psium29l28fzm29b68.biz"
"345","2.568000000","140.138.2.109","140.138.148.138","DNS","165","Standard query response 0x3b08 No such name"
"479","4.020822000","fe80::88c6:5f5:dad3:2965","ff02::1:3","LLMNR","84","Standard query 0xa8d3  A wpad"
"480","4.020824000","140.138.148.124","224.0.0.252","LLMNR","64","Standard query 0xa8d3  A wpad"
"485","4.073744000","140.138.148.138","140.138.2.109","DNS","98","Standard query 0xa6b3  A m69c69nwhypxnqfrlse21gwjrgzeufyctar.ru"
"493","4.120863000","fe80::88c6:5f5:dad3:2965","ff02::1:3","LLMNR","84","Standard query 0xa8d3  A wpad"
"494","4.120863000","140.138.148.124","224.0.0.252","LLMNR","64","Standard query 0xa8d3  A wpad"
"526","4.412803000","140.138.2.109","140.138.148.138","DNS","159","Standard query response 0xa6b3 No such name"
"558","4.636393000","fe80::cb2:353f:d47e:9c2d","ff02::1:3","LLMNR","84","Standard query 0x9351  A wpad"
"559","4.636396000","140.138.149.74","224.0.0.252","LLMNR","64","Standard query 0x9351  A wpad"
"578","4.735748000","fe80::cb2:353f:d47e:9c2d","ff02::1:3","LLMNR","84","Standard query 0x9351  A wpad"
"579","4.735749000","140.138.149.74","224.0.0.252","LLMNR","64","Standard query 0x9351  A wpad"
"581","4.745444000","140.138.148.10","224.0.0.252","LLMNR","69","Standard query 0x32ff  A NPI6063F1"
"582","4.746504000","140.138.148.10","224.0.0.252","LLMNR","69","Standard query 0xcd62  AAAA NPI6063F1"
"588","4.846997000","140.138.148.10","224.0.0.252","LLMNR","69","Standard query 0xcd62  AAAA NPI6063F1"
"608","5.162331000","140.138.148.10","224.0.0.252","LLMNR","69","Standard query 0x69a6  A NPI6063F1"
"610","5.164617000","140.138.148.10","224.0.0.252","LLMNR","69","Standard query 0xe062  AAAA NPI6063F1"
"619","5.264559000","140.138.148.10","224.0.0.252","LLMNR","69","Standard query 0xe062  AAAA NPI6063F1"
"621","5.275713000","140.138.148.36","224.0.0.252","LLMNR","64","Standard query 0xb687  A wpad"
"648","5.374464000","140.138.148.10","224.0.0.252","LLMNR","69","Standard query 0x1328  A NPI6063F1"
"649","5.375190000","140.138.148.36","224.0.0.252","LLMNR","64","Standard query 0xb687  A wpad"
"650","5.382912000","140.138.148.10","224.0.0.252","LLMNR","69","Standard query 0x1568  AAAA NPI6063F1"
"655","5.482569000","140.138.148.10","224.0.0.252","LLMNR","69","Standard query 0x1568  AAAA NPI6063F1"
"665","5.666955000","fe80::a9c9:878b:d4a7:e6d5","ff02::1:3","LLMNR","84","Standard query 0x3f61  A wpad"
"666","5.666956000","140.138.148.128","224.0.0.252","LLMNR","64","Standard query 0x3f61  A wpad"
"674","5.766897000","fe80::a9c9:878b:d4a7:e6d5","ff02::1:3","LLMNR","84","Standard query 0x3f61  A wpad"
"675","5.766900000","140.138.148.128","224.0.0.252","LLMNR","64","Standard query 0x3f61  A wpad"
"690","5.914019000","140.138.148.138","140.138.2.109","DNS","101","Standard query 0xad5d  A bwizj56nvoqdwbxatn10mrdwm59j16nqmwa47.com"
"704","6.085870000","140.138.2.109","140.138.148.138","DNS","174","Standard query response 0xad5d No such name"
"736","6.431362000","140.138.148.138","140.138.2.107","DNS","73","Standard query 0xe8f9  A s.youtube.com"
"742","6.456292000","140.138.148.138","140.138.2.109","DNS","73","Standard query 0xe8f9  A s.youtube.com"
"743","6.456332000","140.138.148.138","140.138.2.107","DNS","73","Standard query 0xe8f9  A s.youtube.com"
"746","6.459133000","140.138.2.109","140.138.148.138","DNS","340","Standard query response 0xe8f9  CNAME video-stats.l.google.com A 74.125.23.139 A 74.125.23.100 A 74.125.23.101 A 74.125.23.102 A 74.125.23.113 A 74.125.23.138"
"753","6.496500000","140.138.2.107","140.138.148.138","DNS","340","Standard query response 0xe8f9  CNAME video-stats.l.google.com A 173.194.72.138 A 173.194.72.139 A 173.194.72.100 A 173.194.72.101 A 173.194.72.102 A 173.194.72.113"
"781","6.594605000","140.138.148.138","140.138.2.107","DNS","72","Standard query 0xf36d  A i1.ytimg.com"
"782","6.594713000","140.138.148.138","140.138.2.107","DNS","72","Standard query 0x8fb6  AAAA i1.ytimg.com"
"783","6.595543000","140.138.2.107","140.138.148.138","DNS","333","Standard query response 0xf36d  CNAME ytimg.l.google.com A 74.125.31.138 A 74.125.31.139 A 74.125.31.100 A 74.125.31.101 A 74.125.31.102 A 74.125.31.113"
"784","6.595544000","140.138.2.107","140.138.148.138","DNS","265","Standard query response 0x8fb6  CNAME ytimg.l.google.com AAAA 2404:6800:4008:c00::8b"
"839","6.700550000","140.138.148.138","140.138.2.107","DNS","71","Standard query 0x7564  AAAA s.ytimg.com"
"840","6.700551000","140.138.148.138","140.138.2.107","DNS","71","Standard query 0x0760  A s.ytimg.com"
"842","6.700969000","140.138.148.138","140.138.2.107","DNS","93","Standard query 0x6e76  AAAA r3---sn-5njj-u2xl.googlevideo.com"
"843","6.702740000","140.138.2.107","140.138.148.138","DNS","335","Standard query response 0x0760  CNAME ytstatic.l.google.com A 173.194.72.138 A 173.194.72.139 A 173.194.72.100 A 173.194.72.101 A 173.194.72.102 A 173.194.72.113"
"844","6.702741000","140.138.2.107","140.138.148.138","DNS","267","Standard query response 0x7564  CNAME ytstatic.l.google.com AAAA 2404:6800:4008:c02::64"
"845","6.702742000","140.138.2.107","140.138.148.138","DNS","294","Standard query response 0x6e76  CNAME r3.sn-5njj-u2xl.googlevideo.com AAAA 2001:c08:7f:151::e"
"848","6.703365000","140.138.148.138","140.138.2.107","DNS","93","Standard query 0xa024  A r3---sn-5njj-u2xl.googlevideo.com"
"849","6.704507000","140.138.2.107","140.138.148.138","DNS","282","Standard query response 0xa024  CNAME r3.sn-5njj-u2xl.googlevideo.com A 202.169.173.206"
"1062","6.865721000","140.138.148.99","224.0.0.251","MDNS","143","Standard query 0x0000  PTR _apple-mobdev._tcp.local, ""QM"" question PTR 49050563._sub._apple-mobdev2._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"1300","6.977362000","140.138.148.138","140.138.2.107","DNS","71","Standard query 0x74e3  A s0.2mdn.net"
"1301","6.977484000","140.138.148.138","140.138.2.107","DNS","71","Standard query 0xe7c6  AAAA s0.2mdn.net"
"1302","6.977531000","140.138.148.138","140.138.2.107","DNS","78","Standard query 0xcc71  A ad.doubleclick.net"
"1303","6.978310000","140.138.2.107","140.138.148.138","DNS","277","Standard query response 0x74e3  CNAME s0-2mdn-net.l.google.com A 173.194.72.148 A 173.194.72.149"
"1305","6.979055000","140.138.2.107","140.138.148.138","DNS","277","Standard query response 0xcc71  CNAME dart.l.doubleclick.net A 173.194.72.148 A 173.194.72.149"
"1307","6.981320000","140.138.2.107","140.138.148.138","DNS","159","Standard query response 0xe7c6  CNAME s0-2mdn-net.l.google.com"
"1343","7.000870000","140.138.148.138","140.138.2.107","DNS","73","Standard query 0x89a8  AAAA yt3.ggpht.com"
"1344","7.000870000","140.138.148.138","140.138.2.107","DNS","73","Standard query 0x593c  A yt3.ggpht.com"
"1345","7.000906000","140.138.148.138","140.138.2.107","DNS","84","Standard query 0xd81c  A www.youtube-nocookie.com"
"1346","7.000998000","140.138.148.138","140.138.2.107","DNS","84","Standard query 0x9917  AAAA www.youtube-nocookie.com"
"1348","7.001667000","140.138.2.107","140.138.148.138","DNS","289","Standard query response 0x89a8  CNAME photos-ugc.l.googleusercontent.com AAAA 2404:6800:4008:c01::84"
"1349","7.002072000","140.138.2.107","140.138.148.138","DNS","277","Standard query response 0x593c  CNAME photos-ugc.l.googleusercontent.com A 173.194.72.132"
"1350","7.002073000","140.138.2.107","140.138.148.138","DNS","318","Standard query response 0xd81c  CNAME youtube-ui.l.google.com A 173.194.72.190 A 173.194.72.91 A 173.194.72.93 A 173.194.72.136"
"1354","7.003161000","140.138.2.107","140.138.148.138","DNS","282","Standard query response 0x9917  CNAME youtube-ui.l.google.com AAAA 2404:6800:4008:c00::5d"
"1490","7.150289000","140.138.148.138","140.138.2.107","DNS","89","Standard query 0x9578  A pagead2.googlesyndication.com"
"1491","7.150581000","140.138.148.138","140.138.2.107","DNS","89","Standard query 0xd536  AAAA pagead2.googlesyndication.com"
"1492","7.152796000","140.138.2.107","140.138.148.138","DNS","336","Standard query response 0x9578  CNAME pagead46.l.doubleclick.net A 74.125.204.155 A 74.125.204.156 A 74.125.204.157 A 74.125.204.154"
"1493","7.152798000","140.138.2.107","140.138.148.138","DNS","300","Standard query response 0xd536  CNAME pagead46.l.doubleclick.net AAAA 2404:6800:4008:c04::9b"
"1558","7.191691000","140.138.148.138","140.138.2.107","DNS","87","Standard query 0x1f55  A googleads.g.doubleclick.net"
"1560","7.191822000","140.138.148.138","140.138.2.107","DNS","87","Standard query 0xe8ad  AAAA googleads.g.doubleclick.net"
"1561","7.194339000","140.138.2.107","140.138.148.138","DNS","322","Standard query response 0x1f55  CNAME pagead46.l.doubleclick.net A 74.125.204.154 A 74.125.204.155 A 74.125.204.156 A 74.125.204.157"
"1562","7.194340000","140.138.2.107","140.138.148.138","DNS","286","Standard query response 0xe8ad  CNAME pagead46.l.doubleclick.net AAAA 2404:6800:4008:c04::9b"
"1633","7.287704000","140.138.148.138","140.138.2.107","DNS","75","Standard query 0x7ada  A csi.gstatic.com"
"1634","7.287822000","140.138.148.138","140.138.2.107","DNS","75","Standard query 0x11d5  AAAA csi.gstatic.com"
"1636","7.288776000","140.138.2.107","140.138.148.138","DNS","282","Standard query response 0x7ada  A 173.194.115.223 A 173.194.115.207 A 173.194.115.215 A 173.194.115.216"
"1637","7.288942000","140.138.2.107","140.138.148.138","DNS","246","Standard query response 0x11d5  AAAA 2607:f8b0:400d:c06::5e"
"1830","7.586094000","140.138.148.138","140.138.2.109","DNS","101","Standard query 0x4e57  A bynscyisnuksc49hxpxhrlyp32p32kuawa17.info"
"1898","7.691498000","140.138.2.109","140.138.148.138","DNS","161","Standard query response 0x4e57 No such name"
"1955","7.735338000","140.138.148.138","140.138.2.107","DNS","81","Standard query 0xd7ac  A bid.g.doubleclick.net"
"1957","7.736732000","140.138.2.107","140.138.148.138","DNS","315","Standard query response 0xd7ac  CNAME ads-bid.l.doubleclick.net A 173.194.72.156 A 173.194.72.157 A 173.194.72.154 A 173.194.72.155"
"2218","7.915087000","140.138.148.138","140.138.2.107","DNS","79","Standard query 0x62f7  A accounts.google.com"
"2219","7.915264000","140.138.148.138","140.138.2.107","DNS","71","Standard query 0x792e  A smarturl.it"
"2220","7.915384000","140.138.148.138","140.138.2.107","DNS","80","Standard query 0x426e  A pharrellwilliams.com"
"2221","7.915490000","140.138.148.138","140.138.2.107","DNS","80","Standard query 0x6bee  AAAA pharrellwilliams.com"
"2222","7.915623000","140.138.148.138","140.138.2.107","DNS","79","Standard query 0x0d8c  AAAA accounts.google.com"
"2223","7.915634000","140.138.148.138","140.138.2.107","DNS","71","Standard query 0x66a7  AAAA smarturl.it"
"2224","7.916235000","140.138.2.107","140.138.148.138","DNS","256","Standard query response 0x62f7  CNAME accounts.l.google.com A 173.194.72.84"
"2225","7.916915000","140.138.2.107","140.138.148.138","DNS","268","Standard query response 0x0d8c  CNAME accounts.l.google.com AAAA 2404:6800:4008:c01::54"
"2226","7.917441000","140.138.148.138","140.138.2.107","DNS","72","Standard query 0x11ed  A facebook.com"
"2227","7.917544000","140.138.148.138","140.138.2.107","DNS","72","Standard query 0xeca4  AAAA facebook.com"
"2230","7.918763000","140.138.2.107","140.138.148.138","DNS","167","Standard query response 0xeca4  AAAA 2a03:2880:2130:cf05:face:b00c:0:1"
"2233","7.922168000","140.138.2.107","140.138.148.138","DNS","155","Standard query response 0x11ed  A 173.252.120.6"
"2234","7.923138000","140.138.148.138","140.138.2.107","DNS","71","Standard query 0xead5  A twitter.com"
"2235","7.925103000","140.138.2.107","140.138.148.138","DNS","285","Standard query response 0xead5  A 199.59.148.10 A 199.59.148.82 A 199.59.149.230 A 199.59.150.39"
"2236","7.925992000","140.138.148.138","140.138.2.107","DNS","73","Standard query 0x0025  A instagram.com"
"2237","7.927735000","140.138.2.107","140.138.148.138","DNS","402","Standard query response 0x0025  A 54.236.199.208 A 107.21.23.46 A 107.23.4.118 A 107.23.107.67 A 107.23.183.195 A 107.23.247.160 A 54.236.148.130 A 54.236.170.22"
"2238","7.929203000","140.138.148.138","140.138.2.107","DNS","85","Standard query 0x0f8b  A adclick.g.doubleclick.net"
"2239","7.930728000","140.138.2.107","140.138.148.138","DNS","318","Standard query response 0x0f8b  CNAME pagead.l.doubleclick.net A 74.125.23.156 A 74.125.23.157 A 74.125.23.154 A 74.125.23.155"
"2242","7.940859000","140.138.148.138","140.138.2.109","DNS","80","Standard query 0x6bee  AAAA pharrellwilliams.com"
"2243","7.940859000","140.138.148.138","140.138.2.109","DNS","71","Standard query 0x792e  A smarturl.it"
"2244","7.940895000","140.138.148.138","140.138.2.107","DNS","71","Standard query 0x792e  A smarturl.it"
"2245","7.940915000","140.138.148.138","140.138.2.109","DNS","71","Standard query 0x66a7  AAAA smarturl.it"
"2246","7.940933000","140.138.148.138","140.138.2.109","DNS","80","Standard query 0x426e  A pharrellwilliams.com"
"2247","7.940952000","140.138.148.138","140.138.2.107","DNS","80","Standard query 0x426e  A pharrellwilliams.com"
"2248","7.943200000","140.138.2.107","140.138.148.138","DNS","291","Standard query response 0x792e  A 23.23.74.185"
"2249","7.945723000","140.138.2.109","140.138.148.138","DNS","291","Standard query response 0x792e  A 23.23.74.185"
"2275","7.955602000","140.138.2.107","140.138.148.138","DNS","156","Standard query response 0x66a7 "
"2277","7.970302000","140.138.2.109","140.138.148.138","DNS","156","Standard query response 0x66a7 "
"2322","8.091218000","140.138.148.138","140.138.2.107","DNS","79","Standard query 0x53f0  A plus.googleapis.com"
"2323","8.091333000","140.138.148.138","140.138.2.107","DNS","79","Standard query 0xe934  AAAA plus.googleapis.com"
"2324","8.092317000","140.138.2.107","140.138.148.138","DNS","265","Standard query response 0x53f0  CNAME googleapis.l.google.com A 74.125.203.95"
"2325","8.092318000","140.138.2.107","140.138.148.138","DNS","277","Standard query response 0xe934  CNAME googleapis.l.google.com AAAA 2404:6800:4003:c01::5f"
"2361","8.126844000","140.138.2.107","140.138.148.138","DNS","540","Standard query response 0x426e  A 96.30.27.52"
"2378","8.153617000","140.138.2.109","140.138.148.138","DNS","151","Standard query response 0x6bee "
"2419","8.200692000","140.138.2.107","140.138.148.138","DNS","151","Standard query response 0x6bee "
"2606","8.400377000","140.138.2.109","140.138.148.138","DNS","552","Standard query response 0x426e  A 96.30.27.52"
"2676","8.478576000","fe80::525:ca6c:aa6b:6c03","ff02::1:3","LLMNR","89","Standard query 0xb669  A NPI6063F1"
"2677","8.478579000","140.138.149.49","224.0.0.252","LLMNR","69","Standard query 0xb669  A NPI6063F1"
"2679","8.479597000","140.138.149.49","224.0.0.252","LLMNR","69","Standard query 0xa5e8  AAAA NPI6063F1"
"2764","8.584010000","140.138.149.49","224.0.0.252","LLMNR","69","Standard query 0xa5e8  AAAA NPI6063F1"
"3206","8.944445000","140.138.148.138","140.138.2.107","DNS","85","Standard query 0x080f  A gp3.googleusercontent.com"
"3207","8.944597000","140.138.148.138","140.138.2.107","DNS","85","Standard query 0xb4e5  A gp5.googleusercontent.com"
"3208","8.944780000","140.138.148.138","140.138.2.107","DNS","85","Standard query 0xf431  AAAA gp5.googleusercontent.com"
"3209","8.945004000","140.138.148.138","140.138.2.107","DNS","85","Standard query 0x68d7  AAAA gp3.googleusercontent.com"
"3210","8.945359000","140.138.148.138","140.138.2.107","DNS","85","Standard query 0x868a  A gp6.googleusercontent.com"
"3211","8.945450000","140.138.148.138","140.138.2.107","DNS","85","Standard query 0xcfb8  AAAA gp6.googleusercontent.com"
"3214","8.945728000","140.138.2.107","140.138.148.138","DNS","271","Standard query response 0x080f  CNAME photos-ugc.l.googleusercontent.com A 173.194.72.132"
"3215","8.945728000","140.138.2.107","140.138.148.138","DNS","283","Standard query response 0xf431  CNAME photos-ugc.l.googleusercontent.com AAAA 2404:6800:4008:c01::84"
"3216","8.945729000","140.138.2.107","140.138.148.138","DNS","271","Standard query response 0xb4e5  CNAME photos-ugc.l.googleusercontent.com A 173.194.72.132"
"3219","8.946239000","140.138.148.138","140.138.2.107","DNS","85","Standard query 0xb0f7  A gp5.googleusercontent.com"
"3220","8.946274000","140.138.2.107","140.138.148.138","DNS","283","Standard query response 0x68d7  CNAME photos-ugc.l.googleusercontent.com AAAA 2404:6800:4008:c01::84"
"3221","8.946275000","140.138.2.107","140.138.148.138","DNS","271","Standard query response 0x868a  CNAME photos-ugc.l.googleusercontent.com A 173.194.72.132"
"3223","8.946868000","140.138.2.107","140.138.148.138","DNS","283","Standard query response 0xcfb8  CNAME photos-ugc.l.googleusercontent.com AAAA 2404:6800:4008:c01::84"
"3224","8.947305000","140.138.2.107","140.138.148.138","DNS","271","Standard query response 0xb0f7  CNAME photos-ugc.l.googleusercontent.com A 173.194.72.132"
"3225","8.948203000","140.138.148.138","140.138.2.107","DNS","85","Standard query 0x7643  A gp4.googleusercontent.com"
"3226","8.948344000","140.138.148.138","140.138.2.107","DNS","85","Standard query 0x399d  AAAA gp4.googleusercontent.com"
"3230","8.950472000","140.138.2.107","140.138.148.138","DNS","283","Standard query response 0x399d  CNAME photos-ugc.l.googleusercontent.com AAAA 2404:6800:4008:c01::84"
"3231","8.950484000","140.138.2.107","140.138.148.138","DNS","271","Standard query response 0x7643  CNAME photos-ugc.l.googleusercontent.com A 173.194.72.132"
"3253","8.967159000","140.138.148.138","140.138.2.107","DNS","75","Standard query 0x315d  A ssl.gstatic.com"
"3254","8.967287000","140.138.148.138","140.138.2.107","DNS","75","Standard query 0xe8e3  AAAA ssl.gstatic.com"
"3258","8.970021000","140.138.2.107","140.138.148.138","DNS","250","Standard query response 0x315d  A 173.194.72.94 A 173.194.72.120"
"3259","8.970022000","140.138.2.107","140.138.148.138","DNS","246","Standard query response 0xe8e3  AAAA 2404:6800:4008:c02::5e"
"3617","9.039441000","fe80::6954:cb99:cc66:560e","ff02::1:3","LLMNR","84","Standard query 0x4d30  A U-PC"
"3620","9.039444000","140.138.148.130","224.0.0.252","LLMNR","64","Standard query 0x4d30  A U-PC"
"3623","9.041128000","fe80::6954:cb99:cc66:560e","ff02::1:3","LLMNR","84","Standard query 0xc336  AAAA U-PC"
"3648","9.050808000","fe80::6954:cb99:cc66:560e","ff02::1:3","LLMNR","84","Standard query 0xf8cf  A U-PC"
"3649","9.050809000","140.138.148.130","224.0.0.252","LLMNR","64","Standard query 0xf8cf  A U-PC"
"3650","9.051931000","fe80::6954:cb99:cc66:560e","ff02::1:3","LLMNR","84","Standard query 0x9c65  AAAA U-PC"
"3844","9.198451000","140.138.148.138","140.138.2.109","DNS","103","Standard query 0xbc3a  A a17buf32lzc39ltotn10fthtcqh34jroqd20d40.org"
"3873","9.296540000","140.138.2.109","140.138.148.138","DNS","166","Standard query response 0xbc3a No such name"
"4914","10.802182000","140.138.148.138","140.138.2.109","DNS","101","Standard query 0x7404  A ayhyptf12k57hqmvg33lwbwoxm69k57fwdxcu.biz"
"4955","10.832941000","140.138.2.109","140.138.148.138","DNS","163","Standard query response 0x7404 No such name"
"5343","11.263738000","fe80::65db:ed03:ae3d:2351","ff02::1:3","LLMNR","84","Standard query 0x7600  A wpad"
"5344","11.263739000","140.138.148.78","224.0.0.252","LLMNR","64","Standard query 0x7600  A wpad"
"5358","11.361924000","fe80::65db:ed03:ae3d:2351","ff02::1:3","LLMNR","84","Standard query 0x7600  A wpad"
"5359","11.361926000","140.138.148.78","224.0.0.252","LLMNR","64","Standard query 0x7600  A wpad"
"5645","12.149972000","fe80::e180:661e:3bd9:56eb","ff02::1:3","LLMNR","84","Standard query 0x452a  A wpad"
"5646","12.149974000","140.138.148.71","224.0.0.252","LLMNR","64","Standard query 0x452a  A wpad"
"5653","12.249461000","fe80::e180:661e:3bd9:56eb","ff02::1:3","LLMNR","84","Standard query 0x452a  A wpad"
"5654","12.249462000","140.138.148.71","224.0.0.252","LLMNR","64","Standard query 0x452a  A wpad"
"5676","12.332666000","140.138.148.138","140.138.2.109","DNS","101","Standard query 0x4224  A hxb28ozl68evlwawjskvn20cvh44gwk67mxfy.com"
"5701","12.419758000","fe80::701e:bf7f:12b3:5059","ff02::1:3","LLMNR","84","Standard query 0xefbe  A wpad"
"5702","12.419760000","140.138.148.202","224.0.0.252","LLMNR","64","Standard query 0xefbe  A wpad"
"5706","12.478940000","140.138.2.109","140.138.148.138","DNS","174","Standard query response 0x4224 No such name"
"5711","12.520110000","fe80::701e:bf7f:12b3:5059","ff02::1:3","LLMNR","84","Standard query 0xefbe  A wpad"
"5712","12.520111000","140.138.148.202","224.0.0.252","LLMNR","64","Standard query 0xefbe  A wpad"
"5828","13.378741000","140.138.148.12","224.0.0.252","LLMNR","64","Standard query 0xf143  A wpad"
"5842","13.477541000","140.138.148.12","224.0.0.252","LLMNR","64","Standard query 0xf143  A wpad"
"5973","13.984980000","140.138.148.138","140.138.2.109","DNS","100","Standard query 0xdde7  A a27p12otevnsivbtazd10dto21i25ateshydq.ru"
"5983","14.013462000","140.138.2.109","140.138.148.138","DNS","161","Standard query response 0xdde7 No such name"
"6040","14.213740000","140.138.148.138","140.138.2.107","DNS","79","Standard query 0x5e51  A twimg.edgesuite.net"
"6045","14.217211000","140.138.2.107","140.138.148.138","DNS","430","Standard query response 0x5e51  CNAME a1123.w19.akamai.net A 70.39.163.138 A 70.39.163.130"
"6240","14.903122000","fe80::94a1:9e2c:7acc:3ef5","ff02::1:3","LLMNR","84","Standard query 0x3814  A wpad"
"6241","14.903123000","140.138.148.11","224.0.0.252","LLMNR","64","Standard query 0x3814  A wpad"
"6275","15.013103000","fe80::94a1:9e2c:7acc:3ef5","ff02::1:3","LLMNR","84","Standard query 0x3814  A wpad"
"6276","15.013105000","140.138.148.11","224.0.0.252","LLMNR","64","Standard query 0x3814  A wpad"
"6301","15.206707000","fe80::6954:cb99:cc66:560e","ff02::1:3","LLMNR","84","Standard query 0x535b  A wpad"
"6302","15.206709000","140.138.148.130","224.0.0.252","LLMNR","64","Standard query 0x535b  A wpad"
"6305","15.240612000","fe80::6cc5:a3e9:dd1:ae8c","ff02::1:3","LLMNR","84","Standard query 0x912c  A wpad"
"6306","15.240615000","140.138.149.146","224.0.0.252","LLMNR","64","Standard query 0x912c  A wpad"
"6322","15.309541000","fe80::6954:cb99:cc66:560e","ff02::1:3","LLMNR","84","Standard query 0x535b  A wpad"
"6323","15.309542000","140.138.148.130","224.0.0.252","LLMNR","64","Standard query 0x535b  A wpad"
"6336","15.339939000","140.138.149.146","224.0.0.252","LLMNR","64","Standard query 0x912c  A wpad"
"6337","15.339939000","fe80::6cc5:a3e9:dd1:ae8c","ff02::1:3","LLMNR","84","Standard query 0x912c  A wpad"
"6402","15.518074000","140.138.148.138","140.138.2.109","DNS","103","Standard query 0x1dd5  A dxeya37d40gwm19hzprm19f22p22humul48arbw.com"
"6424","15.680545000","140.138.2.109","140.138.148.138","DNS","176","Standard query response 0x1dd5 No such name"
"6524","16.019162000","fe80::91dc:bd1d:2972:e525","ff02::1:3","LLMNR","84","Standard query 0x99fc  A wpad"
"6525","16.019170000","140.138.148.81","224.0.0.252","LLMNR","64","Standard query 0x99fc  A wpad"
"6533","16.125112000","fe80::91dc:bd1d:2972:e525","ff02::1:3","LLMNR","84","Standard query 0x99fc  A wpad"
"6534","16.125113000","140.138.148.81","224.0.0.252","LLMNR","64","Standard query 0x99fc  A wpad"
"6559","16.207297000","fe80::dd50:68be:947f:18ac","ff02::1:3","LLMNR","88","Standard query 0xaaf8  A 1703B-PC"
"6560","16.207299000","140.138.148.97","224.0.0.252","LLMNR","68","Standard query 0xaaf8  A 1703B-PC"
"6567","16.209954000","fe80::dd50:68be:947f:18ac","ff02::1:3","LLMNR","88","Standard query 0x882c  AAAA 1703B-PC"
"6571","16.224296000","fe80::dd50:68be:947f:18ac","ff02::1:3","LLMNR","88","Standard query 0xf1f7  A 1703B-PC"
"6572","16.224298000","140.138.148.97","224.0.0.252","LLMNR","68","Standard query 0xf1f7  A 1703B-PC"
"6573","16.226108000","fe80::dd50:68be:947f:18ac","ff02::1:3","LLMNR","88","Standard query 0x0f35  AAAA 1703B-PC"
"6702","16.747491000","140.138.148.134","224.0.0.251","MDNS","345","Standard query response 0x0000  PTR _rfb._tcp.local PTR hadoop01 [00:25:90:dd:e6:d4]._workstation._tcp.local PTR _workstation._tcp.local PTR hadoop01._udisks-ssh._tcp.local PTR _udisks-ssh._tcp.local PTR dsslab's remote desktop on hadoop01._http._tcp.local PTR _http._tcp.local PTR dsslab's remote desktop on hadoop01._rfb._tcp.local"
"6708","16.762998000","140.138.148.134","224.0.0.251","MDNS","470","Standard query 0x0000  ANY dsslab's remote desktop on hadoop01._rfb._tcp.local, ""QM"" question ANY hadoop01.local, ""QM"" question ANY 134.148.138.140.in-addr.arpa, ""QM"" question ANY hadoop01 [00:25:90:dd:e6:d4]._workstation._tcp.local, ""QM"" question ANY hadoop01._udisks-ssh._tcp.local, ""QM"" question ANY dsslab's remote desktop on hadoop01._http._tcp.local, ""QM"" question"
"6715","16.775623000","140.138.148.134","224.0.0.251","MDNS","81","Standard query 0x0000  PTR _sane-port._tcp.local, ""QM"" question"
"6733","16.866901000","fe80::cd2e:64b0:dee5:e8b8","ff02::1:3","LLMNR","84","Standard query 0xfb1e  A wpad"
"6734","16.866905000","140.138.148.101","224.0.0.252","LLMNR","64","Standard query 0xfb1e  A wpad"
"6794","16.966357000","fe80::cd2e:64b0:dee5:e8b8","ff02::1:3","LLMNR","84","Standard query 0xfb1e  A wpad"
"6795","16.966359000","140.138.148.101","224.0.0.252","LLMNR","64","Standard query 0xfb1e  A wpad"
"6810","17.013120000","140.138.148.134","224.0.0.251","MDNS","470","Standard query 0x0000  ANY dsslab's remote desktop on hadoop01._rfb._tcp.local, ""QM"" question ANY hadoop01.local, ""QM"" question ANY 134.148.138.140.in-addr.arpa, ""QM"" question ANY hadoop01 [00:25:90:dd:e6:d4]._workstation._tcp.local, ""QM"" question ANY hadoop01._udisks-ssh._tcp.local, ""QM"" question ANY dsslab's remote desktop on hadoop01._http._tcp.local, ""QM"" question"
"6847","17.090580000","fe80::b5e6:ab10:6bd3:492","ff02::1:3","LLMNR","89","Standard query 0x262a  A NPIC93AE3"
