"No.","Time","Source","Destination","Protocol","Length","Info"
"79348","249.505431000","140.138.149.146","224.0.0.252","LLMNR","64","Standard query 0x500d  A wpad"
"79516","250.533698000","140.138.148.138","140.138.2.109","DNS","100","Standard query 0xa813  A kuhynto31azf42oznuoumydvjvi55mto31fq.biz"
"79536","250.561911000","140.138.2.109","140.138.148.138","DNS","162","Standard query response 0xa813 No such name"
"79599","250.929880000","fe80::701e:bf7f:12b3:5059","ff02::1:3","LLMNR","84","Standard query 0x3a9f  A wpad"
"79600","250.929884000","140.138.148.202","224.0.0.252","LLMNR","64","Standard query 0x3a9f  A wpad"
"79606","251.022977000","fe80::c086:9801:1327:6b14","ff02::1:3","LLMNR","92","Standard query 0x91a0  A STAFFMAILDB3"
"79607","251.022979000","140.138.148.15","224.0.0.252","LLMNR","72","Standard query 0x91a0  A STAFFMAILDB3"
"79609","251.032638000","fe80::701e:bf7f:12b3:5059","ff02::1:3","LLMNR","84","Standard query 0x3a9f  A wpad"
"79610","251.032640000","140.138.148.202","224.0.0.252","LLMNR","64","Standard query 0x3a9f  A wpad"
"79657","251.122737000","fe80::c086:9801:1327:6b14","ff02::1:3","LLMNR","92","Standard query 0x91a0  A STAFFMAILDB3"
"79658","251.122739000","140.138.148.15","224.0.0.252","LLMNR","72","Standard query 0x91a0  A STAFFMAILDB3"
"79909","252.062437000","140.138.148.138","140.138.2.109","DNS","101","Standard query 0x53f7  A pvmvh34gthxgwh24kwgxb28pxk67o51pudsb18.ru"
"79918","252.122153000","140.138.2.109","140.138.148.138","DNS","162","Standard query response 0x53f7 No such name"
"79982","252.510916000","fe80::dd50:68be:947f:18ac","ff02::1:3","LLMNR","84","Standard query 0x2bfc  A wpad"
"79983","252.510917000","140.138.148.97","224.0.0.252","LLMNR","64","Standard query 0x2bfc  A wpad"
"80010","252.610897000","fe80::dd50:68be:947f:18ac","ff02::1:3","LLMNR","84","Standard query 0x2bfc  A wpad"
"80011","252.610899000","140.138.148.97","224.0.0.252","LLMNR","64","Standard query 0x2bfc  A wpad"
